months_as_customer,age,policy_deductable,umbrella_limit,insured_sex,insured_education_level,insured_occupation,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,fraud_reported
102,32,500,3000000,MALE,JD,tech-support,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,NO,1,0,NO,47400,Y
156,37,500,0,MALE,Associate,protective-serv,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,0,3,NO,41490,N
277,46,2000,0,FEMALE,Associate,adm-clerical,Vehicle Theft,?,Minor Damage,Police,4,1,?,2,3,NO,3870,N
243,44,500,0,MALE,JD,craft-repair,Multi-vehicle Collision,Side Collision,Minor Damage,Other,4,3,?,2,1,YES,51400,N
187,34,500,0,FEMALE,PhD,machine-op-inspct,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,7,3,?,0,0,?,45100,N
174,36,2000,0,FEMALE,College,tech-support,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,?,2,2,NO,65400,N
267,46,2000,0,FEMALE,MD,adm-clerical,Multi-vehicle Collision,Front Collision,Total Loss,Police,4,4,NO,2,1,?,77100,N
320,48,2000,7000000,MALE,College,transport-moving,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,13,3,NO,2,0,NO,56160,N
186,37,2000,0,FEMALE,JD,priv-house-serv,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,1,YES,1,2,YES,55600,N
199,41,1000,0,FEMALE,Associate,sales,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,NO,1,2,NO,30100,N
472,64,500,0,MALE,Masters,other-service,Single Vehicle Collision,Front Collision,Major Damage,Fire,13,1,NO,2,3,NO,70900,N
96,27,1000,0,FEMALE,High School,priv-house-serv,Parked Car,?,Trivial Damage,Police,4,1,?,1,2,NO,6030,N
240,40,500,9000000,FEMALE,JD,protective-serv,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,2,YES,0,2,?,66550,N
196,36,2000,0,MALE,MD,armed-forces,Vehicle Theft,?,Trivial Damage,Police,3,1,?,1,1,NO,5300,Y
414,52,500,0,FEMALE,High School,farming-fishing,Single Vehicle Collision,Rear Collision,Total Loss,Police,13,1,YES,1,1,?,54810,Y
297,47,500,7000000,MALE,MD,adm-clerical,Multi-vehicle Collision,Side Collision,Total Loss,Fire,0,3,?,0,3,YES,44400,N
369,55,2000,0,MALE,College,handlers-cleaners,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,6,3,?,2,0,YES,85300,N
330,47,2000,0,FEMALE,High School,craft-repair,Multi-vehicle Collision,Side Collision,Total Loss,Other,20,2,?,0,2,YES,60500,Y
109,29,2000,6000000,FEMALE,High School,adm-clerical,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,3,NO,1,3,YES,91080,N
214,41,500,4000000,MALE,Masters,tech-support,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,?,2,0,NO,64000,Y
394,57,500,0,FEMALE,High School,craft-repair,Vehicle Theft,?,Trivial Damage,Police,9,1,NO,1,0,NO,6890,N
218,41,500,0,MALE,JD,prof-specialty,Multi-vehicle Collision,Side Collision,Total Loss,Police,14,3,NO,2,0,NO,84590,N
