months_as_customer,age,policy_deductable,umbrella_limit,insured_sex,insured_education_level,insured_occupation,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,fraud_reported
464,61,1000,0,FEMALE,Associate,prof-specialty,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,?,0,2,YES,79800,Y
295,42,2000,5000000,MALE,PhD,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,16,3,NO,0,0,NO,59130,Y
212,42,500,0,MALE,PhD,priv-house-serv,Single Vehicle Collision,Rear Collision,Total Loss,Other,14,1,NO,2,1,?,42300,N
337,53,500,0,MALE,Associate,armed-forces,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,8,1,YES,0,1,NO,86400,N
264,43,500,6000000,MALE,PhD,craft-repair,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,3,?,2,1,NO,60750,Y
465,63,500,6000000,FEMALE,Masters,sales,Single Vehicle Collision,Side Collision,Minor Damage,Other,7,1,NO,0,3,?,43560,N
107,32,500,4000000,MALE,Associate,machine-op-inspct,Vehicle Theft,?,Trivial Damage,Police,8,1,?,1,3,NO,3900,N
91,26,1000,0,FEMALE,Associate,armed-forces,Multi-vehicle Collision,Front Collision,Minor Damage,Other,15,3,?,0,2,?,74200,N
85,30,1000,0,MALE,Associate,protective-serv,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,YES,0,1,YES,74280,Y
216,38,1000,5000000,FEMALE,Associate,tech-support,Single Vehicle Collision,Rear Collision,Total Loss,Police,16,1,?,2,3,NO,66600,Y
14,28,2000,0,FEMALE,Associate,craft-repair,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,1,?,2,1,YES,71280,Y
196,39,2000,0,FEMALE,High School,handlers-cleaners,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,?,2,0,NO,60400,N
233,43,1000,0,FEMALE,College,tech-support,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,?,2,3,YES,42500,N
152,33,1000,0,FEMALE,High School,farming-fishing,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,2,1,YES,0,2,?,82610,Y
62,28,1000,0,FEMALE,Masters,protective-serv,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,?,1,1,YES,60200,Y
147,34,1000,0,MALE,High School,sales,Single Vehicle Collision,Side Collision,Minor Damage,Fire,13,1,YES,2,2,?,101010,N
241,39,2000,0,MALE,JD,sales,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,2,?,19080,N
124,29,500,0,MALE,Masters,handlers-cleaners,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,?,0,3,YES,72000,N
257,43,2000,6000000,FEMALE,PhD,handlers-cleaners,Single Vehicle Collision,Front Collision,Total Loss,Other,12,1,?,2,2,YES,63240,N
362,50,500,4000000,MALE,Associate,sales,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,?,1,1,NO,57060,N
26,42,1000,0,MALE,PhD,armed-forces,Single Vehicle Collision,Side Collision,Major Damage,Police,10,1,NO,2,3,?,63030,N
402,54,2000,0,MALE,JD,farming-fishing,Single Vehicle Collision,Rear Collision,Major Damage,Other,19,1,NO,0,2,YES,67770,Y
246,44,1000,0,MALE,High School,machine-op-inspct,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,NO,1,0,NO,61740,N
